Área,Centróide,Pertence a borda,Perimetro,Circularidade,Intensidade média:,Intensidade modal:,Intensidade mediana:,Intensidade mínima:,Intensidade máxima:
2,"(700.0,617.0)",0,2,6.283,54.000,53,54,53,55
67,"(1058.0,51.0)",0,42,0.477,43.582,35,38,30,55
5,"(441.0,811.0)",0,5,2.513,54.400,54,54,54,55
4,"(837.0,638.0)",0,4,3.142,51.500,47,50,47,55
3,"(1033.0,57.0)",0,3,4.189,52.000,51,51,51,53
4,"(1421.0,281.0)",0,4,3.142,51.750,52,52,50,53
41,"(841.0,614.0)",0,33,0.473,49.268,55,53,38,55
8,"(1203.0,790.0)",0,8,1.571,52.625,52,51,50,55
71,"(1137.0,1143.0)",0,52,0.330,17.366,5,5,3,53
462,"(99.0,545.0)",0,214,0.127,41.067,33,43,23,55
132,"(1155.0,876.0)",0,90,0.205,46.811,50,46,30,55
88,"(82.0,510.0)",0,50,0.442,38.852,29,25,18,55
1,"(946.0,225.0)",0,1,12.566,54.000,54,54,54,54
2,"(746.0,617.0)",0,2,6.283,54.000,53,54,53,55
3,"(790.0,271.0)",0,3,4.189,52.667,51,51,51,54
2,"(834.0,650.0)",0,2,6.283,53.500,53,53,53,54
1,"(744.0,615.0)",0,1,12.566,53.000,53,53,53,53
494,"(130.0,1193.0)",1,75,1.104,30.152,20,20,18,55
204,"(114.0,417.0)",0,112,0.204,43.397,45,28,26,55
20,"(1132.0,872.0)",0,18,0.776,49.600,46,47,42,55
12,"(1463.0,847.0)",0,11,1.246,44.333,45,39,32,55
55,"(1446.0,851.0)",0,41,0.411,46.436,49,45,28,55
2,"(949.0,282.0)",0,2,6.283,54.500,54,54,54,55
88,"(1188.0,1144.0)",0,88,0.143,12.852,12,14,4,37
221,"(1424.0,820.0)",0,136,0.150,43.181,49,28,23,55
11,"(382.0,50.0)",0,10,1.382,38.455,34,37,32,50
916,"(253.0,1167.0)",0,153,0.492,41.034,37,44,27,55
1,"(91.0,413.0)",0,1,12.566,51.000,51,51,51,51
1,"(115.0,426.0)",0,1,12.566,54.000,54,54,54,54
20,"(826.0,652.0)",0,20,0.628,52.850,53,53,49,55
153,"(1048.0,36.0)",0,89,0.243,44.327,42,47,27,55
20,"(1527.0,414.0)",0,20,0.628,51.450,53,51,46,55
3,"(169.0,666.0)",0,3,4.189,54.000,55,55,52,55
1,"(953.0,282.0)",0,1,12.566,54.000,54,54,54,54
1,"(1393.0,245.0)",0,1,12.566,52.000,52,52,52,52
85,"(1030.0,83.0)",0,55,0.353,48.012,46,46,37,55
24,"(1156.0,917.0)",0,22,0.623,46.167,44,41,33,55
3,"(71.0,544.0)",0,3,4.189,50.000,48,50,48,52
15,"(196.0,694.0)",0,15,0.838,50.267,51,55,43,55
7,"(1125.0,908.0)",0,7,1.795,53.000,54,53,51,54
7,"(102.0,423.0)",0,7,1.795,52.429,55,55,47,55
17,"(122.0,403.0)",0,15,0.949,48.647,53,46,42,55
77,"(1427.0,847.0)",0,54,0.332,45.532,45,50,30,55
1011,"(943.0,252.0)",0,199,0.321,39.100,42,46,18,55
183,"(472.0,483.0)",0,71,0.456,42.350,38,35,30,55
1615,"(723.0,634.0)",0,209,0.465,44.576,41,52,32,55
1,"(162.0,663.0)",0,1,12.566,54.000,54,54,54,54
2,"(159.0,664.0)",0,2,6.283,53.500,52,53,52,55
11,"(841.0,631.0)",0,11,1.142,48.182,51,46,42,54
92,"(88.0,404.0)",0,49,0.482,41.304,45,34,25,55
5,"(195.0,677.0)",0,5,2.513,52.600,49,49,49,55
5,"(1218.0,824.0)",0,5,2.513,54.200,54,54,53,55
111,"(202.0,663.0)",0,71,0.277,43.793,44,38,27,55
1,"(485.0,522.0)",0,1,12.566,53.000,53,53,53,53
3,"(821.0,601.0)",0,3,4.189,52.667,51,51,51,55
1,"(175.0,260.0)",0,1,12.566,55.000,55,55,55,55
4,"(1243.0,812.0)",0,4,3.142,53.750,54,53,53,54
1,"(1069.0,144.0)",0,1,12.566,53.000,53,53,53,53
41,"(50.0,431.0)",0,32,0.503,48.244,47,54,39,55
19,"(87.0,517.0)",0,18,0.737,47.158,45,51,38,55
1,"(969.0,237.0)",0,1,12.566,54.000,54,54,54,54
3,"(1138.0,193.0)",0,0,Infinity,52.000,51,52,51,53
11,"(163.0,659.0)",0,11,1.142,44.364,35,44,35,55
8,"(82.0,552.0)",0,8,1.571,52.750,55,50,49,55
1819,"(1534.0,438.0)",0,232,0.425,38.948,32,43,22,55
1,"(744.0,653.0)",0,1,12.566,52.000,52,52,52,52
3,"(188.0,650.0)",0,3,4.189,54.000,53,53,53,55
13,"(750.0,640.0)",0,13,0.967,53.538,53,54,53,55
2,"(256.0,1186.0)",0,2,6.283,54.500,54,54,54,55
133,"(1432.0,834.0)",0,73,0.314,46.917,50,51,34,55
139,"(168.0,674.0)",0,68,0.378,41.993,39,43,21,55
23,"(960.0,275.0)",0,23,0.546,50.826,50,53,46,55
69,"(1092.0,114.0)",0,35,0.708,41.609,32,43,30,55
4,"(1065.0,54.0)",0,4,3.142,51.000,51,50,50,52
17,"(1431.0,801.0)",0,14,1.090,47.176,47,49,37,55
8,"(1226.0,824.0)",0,8,1.571,52.125,50,50,48,55
16,"(105.0,396.0)",0,16,0.785,51.562,50,53,46,55
5,"(180.0,269.0)",0,5,2.513,53.800,54,54,52,55
2,"(176.0,693.0)",0,2,6.283,52.000,51,52,51,53
1504,"(1420.0,309.0)",0,238,0.334,35.738,32,26,10,55
13,"(1389.0,243.0)",0,13,0.967,53.000,54,55,50,55
19,"(1161.0,910.0)",0,16,0.933,45.947,44,44,38,54
459,"(74.0,466.0)",0,207,0.135,42.841,48,38,18,55
12,"(191.0,271.0)",0,12,1.047,53.167,52,54,52,55
9,"(1144.0,221.0)",0,9,1.396,49.333,48,41,41,55
5,"(1456.0,810.0)",0,5,2.513,52.200,52,51,51,54
2,"(184.0,683.0)",0,2,6.283,52.500,51,52,51,54
414,"(1017.0,56.0)",0,252,0.082,44.647,46,46,27,55
340,"(456.0,495.0)",0,100,0.427,35.424,30,38,17,55
3,"(1006.0,48.0)",0,3,4.189,47.333,46,49,46,49
2,"(1128.0,885.0)",0,2,6.283,53.500,52,53,52,55
51,"(182.0,696.0)",0,37,0.468,45.706,53,45,32,55
26,"(1122.0,892.0)",0,25,0.523,52.923,55,52,49,55
21,"(1038.0,120.0)",0,20,0.660,50.714,53,48,45,55
2,"(168.0,655.0)",0,2,6.283,53.500,52,53,52,55
5,"(919.0,243.0)",0,5,2.513,53.400,53,52,52,55
11,"(1043.0,133.0)",0,11,1.142,53.182,54,55,51,55
2,"(226.0,1115.0)",0,2,6.283,55.000,55,55,55,55
1084,"(1225.0,801.0)",0,215,0.295,46.484,44,51,32,55
3,"(1208.0,784.0)",0,3,4.189,54.000,55,55,52,55
10,"(1044.0,75.0)",0,10,1.257,52.200,51,51,49,55
28,"(232.0,1156.0)",0,28,0.449,40.214,42,42,27,55
53,"(1091.0,125.0)",0,34,0.576,43.717,40,39,35,54
6,"(1437.0,804.0)",0,6,2.094,51.167,46,49,46,55
2,"(968.0,239.0)",0,2,6.283,55.000,55,55,55,55
1,"(1435.0,858.0)",0,1,12.566,55.000,55,55,55,55
2,"(228.0,1143.0)",0,2,6.283,55.000,55,55,55,55
9,"(100.0,407.0)",0,9,1.396,52.778,51,51,50,55
1,"(1207.0,818.0)",0,1,12.566,53.000,53,53,53,53
12,"(1026.0,69.0)",0,12,1.047,48.417,41,48,41,55
1,"(186.0,680.0)",0,1,12.566,52.000,52,52,52,52
952,"(1167.0,1110.0)",0,952,0.013,7.597,8,7,5,20
2,"(479.0,477.0)",0,2,6.283,52.500,50,52,50,55
2,"(840.0,311.0)",0,2,6.283,55.000,55,55,55,55
3,"(804.0,301.0)",0,3,4.189,53.667,52,52,52,55
2072,"(897.0,874.0)",0,248,0.423,30.030,21,39,12,55
3,"(182.0,647.0)",0,3,4.189,51.667,50,54,50,54
114,"(1167.0,893.0)",0,74,0.262,44.465,43,42,32,55
2,"(194.0,699.0)",0,2,6.283,54.000,54,54,54,54
1,"(748.0,648.0)",0,1,12.566,55.000,55,55,55,55
3,"(1426.0,308.0)",0,0,Infinity,53.667,52,54,52,55
14,"(1152.0,869.0)",0,13,1.041,48.286,53,50,42,55
4,"(1201.0,801.0)",0,4,3.142,54.250,55,53,53,55
7,"(1036.0,39.0)",0,7,1.795,50.000,47,47,47,55
5,"(1115.0,170.0)",0,5,2.513,50.000,44,44,44,54
1,"(958.0,269.0)",0,1,12.566,55.000,55,55,55,55
367,"(224.0,1130.0)",0,124,0.300,46.722,44,43,35,55
11,"(1061.0,39.0)",0,11,1.142,47.000,35,51,35,55
1,"(736.0,613.0)",0,1,12.566,53.000,53,53,53,53
1,"(856.0,312.0)",0,1,12.566,55.000,55,55,55,55
4,"(85.0,419.0)",0,4,3.142,51.250,49,50,49,55
2,"(1022.0,48.0)",0,2,6.283,54.500,54,54,54,55
73,"(1150.0,1142.0)",0,52,0.339,18.863,7,25,4,55
140,"(1.0,463.0)",1,50,0.704,31.829,23,22,16,55
9,"(1148.0,909.0)",0,9,1.396,50.000,52,52,42,55
3,"(1236.0,819.0)",0,3,4.189,55.000,55,55,55,55
